Primary_Genre,All_Tags,Price_USD,Review_Score_Pct,Total_Reviews,Estimated_Owners
Action,FPS;Shooter;Multiplayer;Competitive;Action;Team-Based;eSports;Tactical;First-Person;PvP,0,83,4980365,149410950
Indie,Strategy;Roguelike;Card Game;Deckbuilding;Co-op;Roguelike Deckbuilder;Card Battler;Turn-Based Combat;Multiplayer;Dungeon Crawler,24.99,97,49549,1486470
Action,Action;Open World;Singleplayer;Adventure;Combat;Exploration;Dragons;Story Rich;Action-Adventure;Third Person,69.99,0,0,0
Action,Extraction Shooter;PvP;Multiplayer;Sci-fi;Shooter;FPS;Futuristic;Action;First-Person;PvE,39.99,90,24360,730800
Action,Survival Horror;Zombies;Horror;Third-Person Shooter;Action;FPS;First-Person;Action-Adventure;Cinematic;Realistic,69.99,96,79667,2390010
Action,Zombies;Shooter;Online Co-Op;FPS;PvE;Action;Adventure;Looter Shooter;Action-Adventure;First-Person,39.99,83,2765,82950
Action,Tactical;Realistic;FPS;Shooter;Multiplayer;Singleplayer;Co-op;Horror;First-Person;Action,49.99,85,243810,7314300
Action,Free to Play;Multiplayer;Battle Royale;FPS;Shooter;First-Person;PvP;Action;Hero Shooter;Team-Based,0,65,1577,47310
Action,Extraction Shooter;Multiplayer;PvE;PvP;Third-Person Shooter;Post-apocalyptic;Shooter;Online Co-Op;Survival;Sci-fi,39.99,79,264150,7924500
Adventure,RPG;Creature Collector;JRPG;Exploration;Turn-Based Combat;Cartoony;Adventure;Dragons;Character Customization;Singleplayer,69.99,75,1570,47100
Action,Destruction;Physics;Sandbox;Voxel;Multiplayer;Heist;Singleplayer;Indie;Replay Value;First-Person,14.99,94,115777,3473310
Action,Action;RPG;Adventure;JRPG;Great Soundtrack;Action-Adventure;Emotional;Story Rich;Singleplayer;Fantasy,24.99,89,8167,245010
Casual,Multiplayer;Online Co-Op;Co-op;Sports;Physics;Exploration;Comedy;3D;Action;Adventure,7.99,95,4025,120750
Action,Free to Play;Multiplayer;Hero Shooter;Third-Person Shooter;Superhero;PvP;Action;Team-Based;Competitive;Shooter,0,68,0,0
Adventure,Life Sim;Free to Play;Character Customization;Building;Simulation;Romance;Singleplayer;Sandbox;Dating Sim;Relaxing,0,79,82661,2479830
Action,Multiplayer;Action;World War I;Third-Person Shooter;FPS;Shooter;Historical;Simulation;3D;Cinematic,16.26,88,3572,107160
Action,FPS;PvP;Multiplayer;Shooter;Tactical;eSports;Competitive;Online Co-Op;Action;Hero Shooter,0,75,1234092,37022760
Action,Online Co-Op;PvE;Third-Person Shooter;Multiplayer;Shooter;Action;Co-op;Sci-fi;Extraction Shooter;Capitalism,39.99,70,807861,24235830
Action,Free to Play;Looter Shooter;Action RPG;Third-Person Shooter;Action;RPG;Third Person;Massively Multiplayer;Online Co-Op;Character Customization,0,90,2880,86400
Action,Free to Play;Hero Shooter;FPS;Multiplayer;Team-Based;MOBA;First-Person;Third-Person Shooter;Third Person;PvP,0,60,257,7710
Action,Free to Play;Simulation;Vehicular Combat;Combat;Flight;World War II;VR;War;Military;Tanks,0,76,1961,58830
Sports,Gambling;Sports;Basketball;Simulation;eSports;3D;Multiplayer;Controller;Singleplayer;Character Customization,19.99,74,12634,379020
Action,RPG;JRPG;Action RPG;Singleplayer;Action-Adventure;Party-Based RPG;Spectacle fighter;Third Person;Action;Adventure,19.99,84,37281,1118430
Action,Open World;Action;Sexual Content;Multiplayer;Crime;Mature;Shooter;Third Person;First-Person;Adventure,19.79,89,152083,4562490
Action,Survival;Open World Survival Craft;Multiplayer;Base Building;Online Co-Op;Crafting;Open World;Exploration;Building;Co-op,11.89,77,49598,1487940
Adventure,Early Access;Adventure;RPG;Strategy;Party-Based RPG;Turn-Based Strategy;CRPG;Strategy RPG;3D;Top-Down,35.99,73,1277,38310
Adventure,RPG;Character Customization;Choices Matter;Dungeons & Dragons;Turn-Based Combat;Story Rich;Sexual Content;CRPG;Fantasy;Adventure,59.99,94,730296,21908880
Action,Open World;Free to Play;Multiplayer;Souls-like;Action RPG;Online Co-Op;MMORPG;Adventure;Action;Story Rich,0,79,0,0
Action,Survival;Crafting;Multiplayer;Open World;Open World Survival Craft;Building;PvP;Sandbox;Adventure;First-Person,39.99,84,1116689,33500670
Action,Horror;Multiplayer;Survival Horror;Online Co-Op;Co-op;Survival;Gore;Team-Based;Blood;Third Person,19.99,79,647076,19412280
Adventure,Turn-Based Tactics;Roguelite;Turn-Based Strategy;Dark Humor;Cats;RPG;Turn-Based Combat;Funny;Cute;2D,29.99,91,36152,1084560
RPG,RPG;Violent;JRPG;Party-Based RPG;Fantasy;Anime;Singleplayer;Turn-Based;Class-Based;Character Customization,31.99,97,205,6150
RPG,Strategy;Medieval;Grand Strategy;Simulation;RPG;Historical;Management;Character Customization;Life Sim;Sandbox,14.99,85,91953,2758590
Action,Simulation;Co-op;Crime;Management;Multiplayer;Open World;First-Person;Crafting;Automation;Base Building,19.99,96,259648,7789440
Simulation,Simulation;Sports;3D Fighter;Wrestling;Sandbox;Character Customization;Multiplayer,69.99,49,844,25320
Action,Dinosaurs;Survival;Open World;Multiplayer;Simulation;Hunting;Realistic;Massively Multiplayer;Adventure;Early Access,19.99,79,98271,2948130
Indie,City Builder;Colony Sim;Voxel;Automation;Nature;Sandbox;Building;Management;Base Building;Survival,27.99,96,34389,1031670
Action,Horror;Action;Survival Horror;Third-Person Shooter;Singleplayer;Zombies;Story Rich;Survival;Dark;Remake,39.99,95,152313,4569390
Action,Action RPG;Hack and Slash;Loot;Isometric;RPG;Online Co-Op;Dungeon Crawler;Singleplayer;Co-op;Multiplayer,49.99,76,49403,1482090
Action,Hack and Slash;RPG;Great Soundtrack;Story Rich;Female Protagonist;Action;Spectacle fighter;Open World;JRPG;Anime,15.99,88,111193,3335790
Action,Souls-like;Open World;Dark Fantasy;RPG;Difficult;Action RPG;Multiplayer;Third Person;Fantasy;Singleplayer,59.99,92,808015,24240450
Action,Exploration;Cinematic;Story Rich;Sci-fi;Open World;Action;Third-Person Shooter;Action-Adventure;Adventure;Third Person,69.99,0,0,0
Action,Action RPG;Story Rich;Spectacle fighter;JRPG;Action;Fantasy;Dark Fantasy;Singleplayer;RPG;Cinematic,24.99,78,20959,628770
RPG,Turn-Based Strategy;Turn-Based Tactics;Tactical RPG;Fantasy;Medieval;Story Rich;JRPG;Emotional;Strategy RPG;RPG,34.99,81,4795,143850
Casual,Early Access;Online Co-Op;Funny;Immersive Sim;Aliens;Multiplayer;Simulation;Management;First-Person;America,12.99,86,1739,52170
Action,RPG;Action;Adventure;JRPG;Singleplayer;Open World;Action RPG;Party-Based RPG;Action-Adventure;Story Rich,29.99,71,20495,614850
Action,Horror;Singleplayer;Free to Play;Puzzle;First-Person;Survival Horror;Dark;Psychological Horror;Mystery;Survival,0,93,37330,1119900
Action,Zombies;Multiplayer;Online Co-Op;Singleplayer;Action;Co-op;Shooter;Third-Person Shooter;PvE;Survival Horror,7.49,77,22495,674850
Simulation,Football (Soccer);Sports;Multiplayer;Simulation;Singleplayer;Controller;Competitive;Local Co-Op;Realistic;Online Co-Op,20.99,48,46691,1400730
Strategy,,0,0,0,0
Action,Multiplayer;FPS;Action;Military;Singleplayer;Shooter;War;Modern;Combat;Realistic,69.99,45,262749,7882470
Action,Horror;Online Co-Op;Multiplayer;Comedy;Co-op;Physics;First-Person;3D;Stealth;Survival,6.99,95,293603,8808090
Action,Magic;Open World;Fantasy;Singleplayer;Adventure;RPG;Character Customization;Exploration;Story Rich;Third Person,8.99,86,265344,7960320
Adventure,Base Building;Automation;Open World;Crafting;Multiplayer;Co-op;Building;Resource Management;Sandbox;Exploration,27.99,96,221670,6650100
Massively Multiplayer,,19.99,0,76795,2303850
RPG,Open World;Multiplayer;Post-apocalyptic;RPG;Dark Comedy;Capitalism;Survival;Base Building;Co-op;Shooter,39.99,67,75737,2272110
Simulation,,0,0,0,0
